"cty","Name","Household_Income_at_Age_35_rP_gM_p25"
"cty01003","Baldwin County, AL",28797
"cty39155","Trumbull County, OH",28792
"cty12109","St. Johns County, FL",28790
"cty12091","Okaloosa County, FL",28788
"cty37137","Pamlico County, NC",28788
"cty12077","Liberty County, FL",28782
"cty28127","Simpson County, MS",28781
"cty13309","Wheeler County, GA",28762
"cty50009","Essex County, VT",28758
"cty06019","Fresno County, CA",28756
"cty24015","Cecil County, MD",28751
"cty21069","Fleming County, KY",28734
"cty51790","Staunton city, VA",28730
"cty48449","Titus County, TX",28728
"cty51197","Wythe County, VA",28727
"cty47183","Weakley County, TN",28727
"cty23029","Washington County, ME",28721
"cty01095","Marshall County, AL",28712
"cty18167","Vigo County, IN",28712
"cty48145","Falls County, TX",28710
"cty21131","Leslie County, KY",28708
"cty26161","Washtenaw County, MI",28705
"cty17183","Vermilion County, IL",28702
"cty51103","Lancaster County, VA",28698
"cty48063","Camp County, TX",28692
"cty28005","Amite County, MS",28687
"cty40109","Oklahoma County, OK",28686
"cty12059","Holmes County, FL",28679
"cty17081","Jefferson County, IL",28677
"cty29201","Scott County, MO",28667
"cty37029","Camden County, NC",28667
"cty26159","Van Buren County, MI",28665
"cty22069","Natchitoches Parish, LA",28663
"cty18019","Clark County, IN",28660
"cty13223","Paulding County, GA",28658
"cty41031","Jefferson County, OR",28654
"cty47031","Coffee County, TN",28653
"cty39071","Highland County, OH",28645
"cty18065","Henry County, IN",28632
"cty26117","Montcalm County, MI",28623
"cty28023","Clarke County, MS",28619
"cty36055","Monroe County, NY",28604
"cty29181","Ripley County, MO",28598
"cty20173","Sedgwick County, KS",28592
"cty47085","Humphreys County, TN",28590
"cty22083","Richland Parish, LA",28587
"cty32021","Mineral County, NV",28584
"cty29021","Buchanan County, MO",28583
"cty22095","St. John the Baptist Parish, LA",28573
"cty39057","Greene County, OH",28559
"cty55059","Kenosha County, WI",28536
"cty18009","Blackford County, IN",28527
"cty26075","Jackson County, MI",28526
"cty18163","Vanderburgh County, IN",28513
"cty20177","Shawnee County, KS",28507
"cty29055","Crawford County, MO",28504
"cty18091","LaPorte County, IN",28499
"cty54005","Boone County, WV",28478
"cty28057","Itawamba County, MS",28476
"cty18109","Morgan County, IN",28475
"cty04012","La Paz County, AZ",28462
"cty51149","Prince George County, VA",28459
"cty05099","Nevada County, AR",28458
"cty22121","West Baton Rouge Parish, LA",28452
"cty04023","Santa Cruz County, AZ",28448
"cty39151","Stark County, OH",28447
"cty05065","Izard County, AR",28442
"cty18145","Shelby County, IN",28438
"cty21153","Magoffin County, KY",28420
"cty37101","Johnston County, NC",28411
"cty13013","Barrow County, GA",28405
"cty18141","St. Joseph County, IN",28397
"cty28157","Wilkinson County, MS",28393
"cty18089","Lake County, IN",28392
"cty21037","Campbell County, KY",28388
"cty37179","Union County, NC",28379
"cty35043","Sandoval County, NM",28361
"cty51036","Charles City County, VA",28360
"cty47143","Rhea County, TN",28356
"cty39087","Lawrence County, OH",28356
"cty36005","Bronx County, NY",28354
"cty38005","Benson County, ND",28344
"cty72079","Lajas Municipio, PR",28343
"cty37115","Madison County, NC",28336
"cty01061","Geneva County, AL",28334
"cty37011","Avery County, NC",28330
"cty47035","Cumberland County, TN",28324
"cty26079","Kalkaska County, MI",28321
"cty01107","Pickens County, AL",28317
"cty12017","Citrus County, FL",28308
"cty13147","Hart County, GA",28307
"cty13017","Ben Hill County, GA",28295
"cty12055","Highlands County, FL",28293
"cty51073","Gloucester County, VA",28285
"cty04027","Yuma County, AZ",28271
"cty47169","Trousdale County, TN",28267
"cty47131","Obion County, TN",28266
"cty48231","Hunt County, TX",28266
"cty06045","Mendocino County, CA",28262
"cty37171","Surry County, NC",28261
"cty34007","Camden County, NJ",28240
"cty28139","Tippah County, MS",28229
"cty13067","Cobb County, GA",28218
"cty21167","Mercer County, KY",28215
"cty21181","Nicholas County, KY",28207
"cty05131","Sebastian County, AR",28206
"cty12129","Wakulla County, FL",28202
"cty37193","Wilkes County, NC",28200
"cty05037","Cross County, AR",28199
"cty02020","Anchorage Municipality, AK",28198
"cty51047","Culpeper County, VA",28192
"cty18005","Bartholomew County, IN",28190
"cty37075","Graham County, NC",28184
"cty47025","Claiborne County, TN",28174
"cty35001","Bernalillo County, NM",28171
"cty29169","Pulaski County, MO",28158
"cty48375","Potter County, TX",28147
"cty13107","Emanuel County, GA",28142
"cty08101","Pueblo County, CO",28141
"cty21023","Bracken County, KY",28138
"cty05095","Monroe County, AR",28137
"cty47141","Putnam County, TN",28134
"cty47099","Lawrence County, TN",28133
"cty47079","Henry County, TN",28126
"cty51195","Wise County, VA",28124
"cty37169","Stokes County, NC",28111
"cty22079","Rapides Parish, LA",28106
"cty39017","Butler County, OH",28080
"cty47121","Meigs County, TN",28080
"cty39053","Gallia County, OH",28079
"cty37197","Yadkin County, NC",28074
"cty54003","Berkeley County, WV",28072
"cty13181","Lincoln County, GA",28071
"cty18143","Scott County, IN",28069
"cty47129","Morgan County, TN",28059
"cty24019","Dorchester County, MD",28049
"cty26069","Iosco County, MI",28038
"cty28067","Jones County, MS",28031
"cty37005","Alleghany County, NC",28025
"cty08055","Huerfano County, CO",28017
"cty51159","Richmond County, VA",28015
"cty28061","Jasper County, MS",28014
"cty48277","Lamar County, TX",28004
"cty40101","Muskogee County, OK",28004
"cty72051","Dorado Municipio, PR",28004
"cty39139","Richland County, OH",28003
"cty13151","Henry County, GA",27998
"cty21145","McCracken County, KY",27997
"cty37103","Jones County, NC",27989
"cty21165","Menifee County, KY",27989
"cty47107","McMinn County, TN",27987
"cty13039","Camden County, GA",27985
"cty32003","Clark County, NV",27984
"cty13229","Pierce County, GA",27980
"cty12071","Lee County, FL",27979
"cty21013","Bell County, KY",27968
"cty01033","Colbert County, AL",27967
"cty51071","Giles County, VA",27964
"cty45035","Dorchester County, SC",27952
"cty47149","Rutherford County, TN",27944
"cty29093","Iron County, MO",27939
"cty42043","Dauphin County, PA",27936
"cty01053","Escambia County, AL",27931
"cty26165","Wexford County, MI",27922
"cty01007","Bibb County, AL",27920
"cty12101","Pasco County, FL",27915
"cty13019","Berrien County, GA",27908
"cty01127","Walker County, AL",27906
"cty18003","Allen County, IN",27903
"cty51095","James City County, VA",27898
"cty47151","Scott County, TN",27898
"cty21137","Lincoln County, KY",27897
"cty18067","Howard County, IN",27888
"cty51065","Fluvanna County, VA",27868
"cty26081","Kent County, MI",27862
"cty37031","Carteret County, NC",27859
"cty51143","Pittsylvania County, VA",27858
"cty12011","Broward County, FL",27854
"cty37053","Currituck County, NC",27848
"cty13029","Bryan County, GA",27833
"cty21117","Kenton County, KY",27833
"cty39093","Lorain County, OH",27831
"cty29187","St. Francois County, MO",27819
"cty28113","Pike County, MS",27816
"cty29023","Butler County, MO",27810
"cty51077","Grayson County, VA",27806
"cty48453","Travis County, TX",27800
"cty21231","Wayne County, KY",27799
"cty47001","Anderson County, TN",27797
"cty05079","Lincoln County, AR",27795
"cty21125","Laurel County, KY",27783
"cty01091","Marengo County, AL",27781
"cty51193","Westmoreland County, VA",27780
"cty47109","McNairy County, TN",27778
"cty12099","Palm Beach County, FL",27764
"cty51105","Lee County, VA",27755
"cty35061","Valencia County, NM",27754
"cty13201","Miller County, GA",27749
"cty05039","Dallas County, AR",27744
"cty45063","Lexington County, SC",27732
"cty13307","Webster County, GA",27728
"cty04019","Pima County, AZ",27712
"cty51099","King George County, VA",27705
"cty51181","Surry County, VA",27699
"cty08031","Denver County, CO",27687
"cty47057","Grainger County, TN",27687
"cty01019","Cherokee County, AL",27685
"cty54055","Mercer County, WV",27680
"cty13011","Banks County, GA",27662
"cty32029","Storey County, NV",27662
"cty47011","Bradley County, TN",27647
"cty51137","Orange County, VA",27644
"cty72135","Toa Alta Municipio, PR",27629
"cty51093","Isle of Wight County, VA",27617
"cty45015","Berkeley County, SC",27614
"cty28055","Issaquena County, MS",27607
"cty12009","Brevard County, FL",27602
"cty29069","Dunklin County, MO",27601
"cty21159","Martin County, KY",27600
"cty12051","Hendry County, FL",27588
"cty47073","Hawkins County, TN",27584
"cty39073","Hocking County, OH",27568
"cty24039","Somerset County, MD",27565
"cty13001","Appling County, GA",27560
"cty18093","Lawrence County, IN",27530
"cty21081","Grant County, KY",27524
"cty13069","Coffee County, GA",27521
"cty37059","Davie County, NC",27516
"cty22031","De Soto Parish, LA",27516
"cty51191","Washington County, VA",27512
"cty47117","Marshall County, TN",27508
"cty13247","Rockdale County, GA",27499
"cty12125","Union County, FL",27498
"cty51520","Bristol city, VA",27495
"cty51087","Henrico County, VA",27493
"cty37167","Stanly County, NC",27493
"cty13139","Hall County, GA",27482
"cty37183","Wake County, NC",27478
"cty37143","Perquimans County, NC",27468
"cty48037","Bowie County, TX",27461
"cty40001","Adair County, OK",27444
"cty37039","Cherokee County, NC",27441
"cty05085","Lonoke County, AR",27440
"cty28145","Union County, MS",27420
"cty12047","Hamilton County, FL",27417
"cty39145","Scioto County, OH",27413
"cty13195","Madison County, GA",27404
"cty21019","Boyd County, KY",27398
"cty13143","Haralson County, GA",27392
"cty28059","Jackson County, MS",27391
"cty37021","Buncombe County, NC",27388
"cty47175","Van Buren County, TN",27382
"cty39129","Pickaway County, OH",27378
"cty39153","Summit County, OH",27373
"cty47067","Hancock County, TN",27360
"cty47171","Unicoi County, TN",27347
"cty28071","Lafayette County, MS",27346
"cty26025","Calhoun County, MI",27343
"cty13187","Lumpkin County, GA",27340
"cty10005","Sussex County, DE",27331
"cty13055","Chattooga County, GA",27331
"cty01037","Coosa County, AL",27328
"cty12127","Volusia County, FL",27327
"cty47177","Warren County, TN",27301
"cty48027","Bell County, TX",27298
"cty12093","Okeechobee County, FL",27293
"cty21071","Floyd County, KY",27292
"cty54045","Logan County, WV",27280
"cty28065","Jefferson Davis County, MS",27277
"cty17031","Cook County, IL",27270
"cty37037","Chatham County, NC",27269
"cty21047","Christian County, KY",27269
"cty47105","Loudon County, TN",27267
"cty28125","Sharkey County, MS",27246
"cty28097","Montgomery County, MS",27241
"cty35047","San Miguel County, NM",27240
"cty05067","Jackson County, AR",27209
"cty45073","Oconee County, SC",27204
"cty34013","Essex County, NJ",27200
"cty21191","Pendleton County, KY",27195
"cty37149","Polk County, NC",27186
"cty12013","Calhoun County, FL",27186
"cty01109","Pike County, AL",27183
"cty54039","Kanawha County, WV",27182
"cty10001","Kent County, DE",27176
"cty12133","Washington County, FL",27164
"cty28095","Monroe County, MS",27157
"cty21121","Knox County, KY",27156
"cty51079","Greene County, VA",27154
"cty37043","Clay County, NC",27141
"cty45071","Newberry County, SC",27138
"cty12063","Jackson County, FL",27136
"cty05003","Ashley County, AR",27126
"cty12029","Dixie County, FL",27116
"cty29143","New Madrid County, MO",27113
"cty37003","Alexander County, NC",27107
"cty01051","Elmore County, AL",27104
"cty28115","Pontotoc County, MS",27092
"cty12041","Gilchrist County, FL",27088
"cty47139","Polk County, TN",27070
"cty72129","San Lorenzo Municipio, PR",27067
"cty13145","Harris County, GA",27067
"cty05051","Garland County, AR",27064
"cty47055","Giles County, TN",27053
"cty35053","Socorro County, NM",27032
"cty21095","Harlan County, KY",27029
"cty46137","Ziebach County, SD",27027
"cty22117","Washington Parish, LA",27027
"cty13183","Long County, GA",27019
"cty12061","Indian River County, FL",27010
"cty26065","Ingham County, MI",27000
"cty39101","Marion County, OH",26998
"cty21127","Lawrence County, KY",26998
"cty51035","Carroll County, VA",26997
"cty37135","Orange County, NC",26995
"cty28089","Madison County, MS",26993
"cty12005","Bay County, FL",26992
"cty28033","DeSoto County, MS",26985
"cty28001","Adams County, MS",26982
"cty06003","Alpine County, CA",26978
"cty47009","Blount County, TN",26972
"cty54047","McDowell County, WV",26964
"cty47087","Jackson County, TN",26963
"cty29189","St. Louis County, MO",26962
"cty39027","Clinton County, OH",26958
"cty17115","Macon County, IL",26950
"cty13045","Carroll County, GA",26947
"cty13227","Pickens County, GA",26946
"cty29175","Randolph County, MO",26925
"cty54011","Cabell County, WV",26924
"cty21065","Estill County, KY",26923
"cty22033","East Baton Rouge Parish, LA",26916
"cty13267","Tattnall County, GA",26914
"cty01123","Tallapoosa County, AL",26906
"cty26077","Kalamazoo County, MI",26901
"cty12075","Levy County, FL",26893
"cty51175","Southampton County, VA",26889
"cty17167","Sangamon County, IL",26884
"cty28123","Scott County, MS",26880
"cty13315","Wilcox County, GA",26867
"cty12069","Lake County, FL",26858
"cty48309","McLennan County, TX",26854
"cty04017","Navajo County, AZ",26853
"cty13197","Marion County, GA",26852
"cty37175","Transylvania County, NC",26850
"cty17201","Winnebago County, IL",26826
"cty21213","Simpson County, KY",26824
"cty30003","Big Horn County, MT",26821
"cty45017","Calhoun County, SC",26821
"cty01045","Dale County, AL",26811
"cty13157","Jackson County, GA",26811
"cty01103","Morgan County, AL",26809
"cty47089","Jefferson County, TN",26806
"cty12083","Marion County, FL",26791
"cty18177","Wayne County, IN",26775
"cty72043","Coamo Municipio, PR",26772
"cty39009","Athens County, OH",26766
"cty37125","Moore County, NC",26749
"cty51173","Smyth County, VA",26747
"cty05057","Hempstead County, AR",26741
"cty37185","Warren County, NC",26740
"cty12095","Orange County, FL",26723
"cty12089","Nassau County, FL",26723
"cty21079","Garrard County, KY",26718
"cty26021","Berrien County, MI",26716
"cty05091","Miller County, AR",26706
"cty01031","Coffee County, AL",26701
"cty21205","Rowan County, KY",26696
"cty35006","Cibola County, NM",26693
"cty13097","Douglas County, GA",26692
"cty51183","Sussex County, VA",26689
"cty06025","Imperial County, CA",26679
"cty34021","Mercer County, NJ",26675
"cty24045","Wicomico County, MD",26664
"cty51550","Chesapeake city, VA",26663
"cty39095","Lucas County, OH",26658
"cty12131","Walton County, FL",26645
"cty24011","Caroline County, MD",26639
"cty35039","Rio Arriba County, NM",26637
"cty28063","Jefferson County, MS",26629
"cty51630","Fredericksburg city, VA",26626
"cty37151","Randolph County, NC",26625
"cty13079","Crawford County, GA",26625
"cty20061","Geary County, KS",26611
"cty34011","Cumberland County, NJ",26589
"cty21151","Madison County, KY",26574
"cty13279","Toombs County, GA",26568
"cty18165","Vermillion County, IN",26540
"cty37033","Caswell County, NC",26531
"cty47123","Monroe County, TN",26518
"cty17153","Pulaski County, IL",26514
"cty05027","Columbia County, AR",26511
"cty21097","Harrison County, KY",26507
"cty47125","Montgomery County, TN",26506
"cty04021","Pinal County, AZ",26501
"cty39047","Fayette County, OH",26499
"cty12103","Pinellas County, FL",26496
"cty45055","Kershaw County, SC",26487
"cty05111","Poinsett County, AR",26484
"cty51650","Hampton city, VA",26477
"cty13207","Monroe County, GA",26470
"cty01013","Butler County, AL",26470
"cty47033","Crockett County, TN",26461
"cty12111","St. Lucie County, FL",26451
"cty13169","Jones County, GA",26451
"cty21235","Whitley County, KY",26449
"cty51135","Nottoway County, VA",26438
"cty45051","Horry County, SC",26433
"cty01083","Limestone County, AL",26429
"cty24033","Prince George's County, MD",26406
"cty72031","Carolina Municipio, PR",26405
"cty37009","Ashe County, NC",26404
"cty37139","Pasquotank County, NC",26404
"cty13305","Wayne County, GA",26398
"cty21173","Montgomery County, KY",26395
"cty48113","Dallas County, TX",26385
"cty13129","Gordon County, GA",26379
"cty01111","Randolph County, AL",26373
"cty51640","Galax city, VA",26358
"cty05011","Bradley County, AR",26355
"cty46017","Buffalo County, SD",26351
"cty28103","Noxubee County, MS",26319
"cty34001","Atlantic County, NJ",26318
"cty51075","Goochland County, VA",26312
"cty47173","Union County, TN",26312
"cty05059","Hot Spring County, AR",26300
"cty28101","Newton County, MS",26298
"cty12105","Polk County, FL",26288
"cty21199","Pulaski County, KY",26279
"cty37133","Onslow County, NC",26276
"cty45013","Beaufort County, SC",26275
"cty13015","Bartow County, GA",26270
"cty12119","Sumter County, FL",26257
"cty51089","Henry County, VA",26251
"cty13077","Coweta County, GA",26249
"cty47059","Greene County, TN",26238
"cty13313","Whitfield County, GA",26238
"cty05147","Woodruff County, AR",26228
"cty12123","Taylor County, FL",26224
"cty47045","Dyer County, TN",26205
"cty13153","Houston County, GA",26185
"cty47153","Sequatchie County, TN",26177
"cty13171","Lamar County, GA",26172
"cty13295","Walker County, GA",26167
"cty45065","McCormick County, SC",26162
"cty45001","Abbeville County, SC",26158
"cty45081","Saluda County, SC",26148
"cty47119","Maury County, TN",26148
"cty13111","Fannin County, GA",26142
"cty12001","Alachua County, FL",26141
"cty05001","Arkansas County, AR",26141
"cty72115","Quebradillas Municipio, PR",26131
"cty51620","Franklin city, VA",26127
"cty72061","Guaynabo Municipio, PR",26121
"cty12057","Hillsborough County, FL",26098
"cty51037","Charlotte County, VA",26096
"cty51155","Pulaski County, VA",26096
"cty51131","Northampton County, VA",26094
"cty05043","Drew County, AR",26092
"cty37013","Beaufort County, NC",26091
"cty28009","Benton County, MS",26085
"cty28003","Alcorn County, MS",26077
"cty37191","Wayne County, NC",26070
"cty51029","Buckingham County, VA",26069
"cty13155","Irwin County, GA",26066
"cty47155","Sevier County, TN",26047
"cty18035","Delaware County, IN",26020
"cty37041","Chowan County, NC",26014
"cty21113","Jessamine County, KY",25989
"cty45003","Aiken County, SC",25973
"cty51033","Caroline County, VA",25956
"cty17143","Peoria County, IL",25946
"cty13231","Pike County, GA",25944
"cty26145","Saginaw County, MI",25933
"cty13005","Bacon County, GA",25919
"cty28069","Kemper County, MS",25915
"cty47005","Benton County, TN",25890
"cty47019","Carter County, TN",25888
"cty51147","Prince Edward County, VA",25886
"cty47135","Perry County, TN",25884
"cty22073","Ouachita Parish, LA",25871
"cty17163","St. Clair County, IL",25854
"cty45077","Pickens County, SC",25849
"cty37025","Cabarrus County, NC",25849
"cty01001","Autauga County, AL",25846
"cty01131","Wilcox County, AL",25834
"cty28017","Chickasaw County, MS",25820
"cty01119","Sumter County, AL",25819
"cty51111","Lunenburg County, VA",25803
"cty21021","Boyle County, KY",25777
"cty37095","Hyde County, NC",25767
"cty18095","Madison County, IN",25763
"cty02110","Juneau City and Borough, AK",25761
"cty39023","Clark County, OH",25749
"cty01015","Calhoun County, AL",25745
"cty12081","Manatee County, FL",25736
"cty18041","Fayette County, IN",25736
"cty37047","Columbus County, NC",25733
"cty37111","McDowell County, NC",25731
"cty29155","Pemiscot County, MO",25729
"cty13087","Decatur County, GA",25725
"cty13213","Murray County, GA",25715
"cty47167","Tipton County, TN",25715
"cty05103","Ouachita County, AR",25709
"cty12033","Escambia County, FL",25706
"cty37131","Northampton County, NC",25704
"cty01081","Lee County, AL",25700
"cty21073","Franklin County, KY",25697
"cty28163","Yazoo County, MS",25689
"cty21111","Jefferson County, KY",25681
"cty21209","Scott County, KY",25670
"cty45045","Greenville County, SC",25669
"cty01065","Hale County, AL",25667
"cty28081","Lee County, MS",25662
"cty13165","Jenkins County, GA",25657
"cty39035","Cuyahoga County, OH",25655
"cty22091","St. Helena Parish, LA",25655
"cty01097","Mobile County, AL",25654
"cty13253","Seminole County, GA",25654
"cty39141","Ross County, OH",25648
"cty39131","Pike County, OH",25646
"cty13283","Treutlen County, GA",25646
"cty51109","Louisa County, VA",25645
"cty01121","Talladega County, AL",25623
"cty28159","Winston County, MS",25612
"cty47101","Lewis County, TN",25599
"cty28047","Harrison County, MS",25598
"cty26121","Muskegon County, MI",25555
"cty28035","Forrest County, MS",25550
"cty01055","Etowah County, AL",25532
"cty13091","Dodge County, GA",25499
"cty13027","Brooks County, GA",25481
"cty37049","Craven County, NC",25466
"cty12007","Bradford County, FL",25458
"cty21193","Perry County, KY",25457
"cty05139","Union County, AR",25454
"cty37001","Alamance County, NC",25451
"cty29133","Mississippi County, MO",25447
"cty01069","Houston County, AL",25443
"cty28099","Neshoba County, MS",25433
"cty45083","Spartanburg County, SC",25420
"cty08011","Bent County, CO",25420
"cty47069","Hardeman County, TN",25419
"cty37117","Martin County, NC",25417
"cty13299","Ware County, GA",25416
"cty37163","Sampson County, NC",25409
"cty29095","Jackson County, MO",25407
"cty13189","McDuffie County, GA",25407
"cty47093","Knox County, TN",25396
"cty51670","Hopewell city, VA",25387
"cty51025","Brunswick County, VA",25377
"cty47063","Hamblen County, TN",25371
"cty45027","Clarendon County, SC",25371
"cty47013","Campbell County, TN",25369
"cty05041","Desha County, AR",25356
"cty47185","White County, TN",25336
"cty21207","Russell County, KY",25323
"cty12023","Columbia County, FL",25317
"cty37161","Rutherford County, NC",25308
"cty13235","Pulaski County, GA",25300
"cty13179","Liberty County, GA",25290
"cty51049","Cumberland County, VA",25282
"cty10003","New Castle County, DE",25267
"cty13317","Wilkes County, GA",25251
"cty37187","Washington County, NC",25249
"cty13025","Brantley County, GA",25240
"cty45029","Colleton County, SC",25213
"cty21067","Fayette County, KY",25211
"cty21239","Woodford County, KY",25197
"cty21189","Owsley County, KY",25181
"cty13031","Bulloch County, GA",25163
"cty01089","Madison County, AL",25146
"cty72025","Caguas Municipio, PR",25143
"cty45091","York County, SC",25142
"cty45089","Williamsburg County, SC",25142
"cty37035","Catawba County, NC",25134
"cty13161","Jeff Davis County, GA",25133
"cty72007","Aguas Buenas Municipio, PR",25128
"cty13263","Talbot County, GA",25124
"cty13023","Bleckley County, GA",25124
"cty47053","Gibson County, TN",25117
"cty01067","Henry County, AL",25110
"cty13035","Butts County, GA",25106
"cty37057","Davidson County, NC",25077
"cty01035","Conecuh County, AL",25072
"cty28051","Holmes County, MS",25062
"cty45007","Anderson County, SC",25054
"cty01005","Barbour County, AL",25053
"cty51700","Newport News city, VA",25047
"cty12027","DeSoto County, FL",25044
"cty42101","Philadelphia County, PA",25038
"cty51083","Halifax County, VA",25038
"cty37015","Bertie County, NC",25022
"cty21119","Knott County, KY",25021
"cty21025","Breathitt County, KY",25015
"cty28137","Tate County, MS",25006
"cty05073","Lafayette County, AR",24996
"cty47097","Lauderdale County, TN",24981
"cty18053","Grant County, IN",24971
"cty37127","Nash County, NC",24968
"cty13185","Lowndes County, GA",24963
"cty13125","Glascock County, GA",24945
"cty13127","Glynn County, GA",24943
"cty37085","Harnett County, NC",24937
"cty01011","Bullock County, AL",24923
"cty12107","Putnam County, FL",24922
"cty28149","Warren County, MS",24907
"cty13115","Floyd County, GA",24891
"cty55079","Milwaukee County, WI",24887
"cty37023","Burke County, NC",24883
"cty13297","Walton County, GA",24850
"cty51117","Mecklenburg County, VA",24843
"cty72153","Yauco Municipio, PR",24838
"cty47179","Washington County, TN",24828
"cty47145","Roane County, TN",24828
"cty45059","Laurens County, SC",24827
"cty37141","Pender County, NC",24827
"cty13233","Polk County, GA",24815
"cty01125","Tuscaloosa County, AL",24815
"cty28117","Prentiss County, MS",24811
"cty45019","Charleston County, SC",24807
"cty02016","Aleutians West Census Area, AK",24807
"cty13321","Worth County, GA",24799
"cty13093","Dooly County, GA",24794
"cty47163","Sullivan County, TN",24781
"cty05017","Chicot County, AR",24775
"cty47029","Cocke County, TN",24756
"cty13053","Chattahoochee County, GA",24753
"cty28161","Yalobusha County, MS",24743
"cty39049","Franklin County, OH",24741
"cty13043","Candler County, GA",24731
"cty37097","Iredell County, NC",24729
"cty13211","Morgan County, GA",24727
"cty37069","Franklin County, NC",24726
"cty47049","Fentress County, TN",24721
"cty22017","Caddo Parish, LA",24713
"cty12073","Leon County, FL",24708
"cty45025","Chesterfield County, SC",24678
"cty21147","McCreary County, KY",24635
"cty13289","Twiggs County, GA",24613
"cty21017","Bourbon County, KY",24597
"cty13105","Elbert County, GA",24591
"cty13133","Greene County, GA",24584
"cty37109","Lincoln County, NC",24546
"cty45075","Orangeburg County, SC",24514
"cty13037","Calhoun County, GA",24495
"cty37017","Bladen County, NC",24490
"cty45037","Edgefield County, SC",24488
"cty13033","Burke County, GA",24487
"cty51680","Lynchburg city, VA",24479
"cty21075","Fulton County, KY",24478
"cty45087","Union County, SC",24472
"cty47065","Hamilton County, TN",24448
"cty45043","Georgetown County, SC",24447
"cty21197","Powell County, KY",24406
"cty72021","Bayamon Municipio, PR",24396
"cty20209","Wyandotte County, KS",24383
"cty51540","Charlottesville city, VA",24368
"cty02068","Denali Borough, AK",24358
"cty21051","Clay County, KY",24350
"cty13271","Telfair County, GA",24349
"cty13075","Cook County, GA",24344
"cty13149","Heard County, GA",24334
"cty47037","Davidson County, TN",24299
"cty22067","Morehouse Parish, LA",24295
"cty51830","Williamsburg city, VA",24293
"cty13061","Clay County, GA",24292
"cty26049","Genesee County, MI",24277
"cty13109","Evans County, GA",24275
"cty45085","Sumter County, SC",24269
"cty13269","Taylor County, GA",24245
"cty51053","Dinwiddie County, VA",24239
"cty39113","Montgomery County, OH",24238
"cty28105","Oktibbeha County, MS",24238
"cty13175","Laurens County, GA",24208
"cty13293","Upson County, GA",24202
"cty12037","Franklin County, FL",24200
"cty39061","Hamilton County, OH",24193
"cty37153","Richmond County, NC",24181
"cty37019","Brunswick County, NC",24170
"cty28075","Lauderdale County, MS",24165
"cty51800","Suffolk city, VA",24162
"cty22035","East Carroll Parish, LA",24161
"cty72075","Juana Diaz Municipio, PR",24137
"cty37123","Montgomery County, NC",24137
"cty72019","Barranquitas Municipio, PR",24136
"cty37091","Hertford County, NC",24132
"cty13159","Jasper County, GA",24119
"cty45041","Florence County, SC",24091
"cty28043","Grenada County, MS",24084
"cty37145","Person County, NC",24071
"cty13225","Peach County, GA",24067
"cty13221","Oglethorpe County, GA",24039
"cty13205","Mitchell County, GA",24033
"cty47091","Johnson County, TN",24032
"cty01017","Chambers County, AL",24004
"cty37105","Lee County, NC",23991
"cty21049","Clark County, KY",23963
"cty13199","Meriwether County, GA",23905
"cty37157","Rockingham County, NC",23898
"cty02164","Lake and Peninsula Borough, AK",23896
"cty46041","Dewey County, SD",23894
"cty28011","Bolivar County, MS",23823
"cty37007","Anson County, NC",23816
"cty13173","Lanier County, GA",23815
"cty13131","Grady County, GA",23798
"cty37129","New Hanover County, NC",23780
"cty13275","Thomas County, GA",23745
"cty13285","Troup County, GA",23730
"cty13071","Colquitt County, GA",23729
"cty45047","Greenwood County, SC",23728
"cty01063","Greene County, AL",23713
"cty05093","Mississippi County, AR",23708
"cty13251","Screven County, GA",23704
"cty13193","Macon County, GA",23681
"cty05119","Pulaski County, AR",23663
"cty13217","Newton County, GA",23662
"cty37083","Halifax County, NC",23659
"cty28029","Copiah County, MS",23651
"cty37027","Caldwell County, NC",23644
"cty37071","Gaston County, NC",23626
"cty02013","Aleutians East Borough, AK",23618
"cty37159","Rowan County, NC",23617
"cty37195","Wilson County, NC",23611
"cty13209","Montgomery County, GA",23602
"cty35031","McKinley County, NM",23601
"cty28087","Lowndes County, MS",23597
"cty45061","Lee County, SC",23550
"cty45067","Marion County, SC",23530
"cty37051","Cumberland County, NC",23501
"cty28119","Quitman County, MS",23468
"cty05077","Lee County, AR",23436
"cty45023","Chester County, SC",23432
"cty13287","Turner County, GA",23410
"cty45057","Lancaster County, SC",23395
"cty12079","Madison County, FL",23356
"cty13163","Jefferson County, GA",23349
"cty13051","Chatham County, GA",23312
"cty12031","Duval County, FL",23301
"cty37067","Forsyth County, NC",23278
"cty45039","Fairfield County, SC",23265
"cty18097","Marion County, IN",23254
"cty05123","St. Francis County, AR",23226
"cty13261","Sumter County, GA",23210
"cty37045","Cleveland County, NC",23209
"cty37081","Guilford County, NC",23195
"cty37119","Mecklenburg County, NC",23192
"cty45011","Barnwell County, SC",23175
"cty13277","Tift County, GA",23172
"cty01073","Jefferson County, AL",23162
"cty47113","Madison County, TN",23138
"cty37147","Pitt County, NC",23065
"cty72085","Las Piedras Municipio, PR",23056
"cty13191","McIntosh County, GA",23047
"cty12065","Jefferson County, FL",23038
"cty45033","Dillon County, SC",23011
"cty45031","Darlington County, SC",23001
"cty28093","Marshall County, MS",22991
"cty51710","Norfolk city, VA",22980
"cty22071","Orleans Parish, LA",22969
"cty26163","Wayne County, MI",22942
"cty13065","Clinch County, GA",22942
