"cty","Name","Household_Income_at_Age_35_rP_gM_p25"
"cty48249","Jim Wells County, TX",38230
"cty48191","Hall County, TX",38227
"cty16011","Bingham County, ID",38207
"cty08075","Logan County, CO",38196
"cty55107","Rusk County, WI",38192
"cty17131","Mercer County, IL",38191
"cty48207","Haskell County, TX",38155
"cty42127","Wayne County, PA",38153
"cty55097","Portage County, WI",38150
"cty49023","Juab County, UT",38144
"cty48179","Gray County, TX",38129
"cty30031","Gallatin County, MT",38123
"cty20077","Harper County, KS",38121
"cty46109","Roberts County, SD",38106
"cty40039","Custer County, OK",38106
"cty27109","Olmsted County, MN",38076
"cty53023","Garfield County, WA",38074
"cty20075","Hamilton County, KS",38072
"cty16057","Latah County, ID",38070
"cty19015","Boone County, IA",38069
"cty31037","Colfax County, NE",38048
"cty20129","Morton County, KS",38042
"cty48111","Dallam County, TX",38032
"cty39121","Noble County, OH",38022
"cty17147","Piatt County, IL",38012
"cty30067","Park County, MT",38006
"cty08039","Elbert County, CO",38003
"cty48127","Dimmit County, TX",37995
"cty48503","Young County, TX",37986
"cty27099","Mower County, MN",37985
"cty48377","Presidio County, TX",37966
"cty17043","DuPage County, IL",37956
"cty29003","Andrew County, MO",37944
"cty27059","Isanti County, MN",37937
"cty53075","Whitman County, WA",37901
"cty16067","Minidoka County, ID",37900
"cty19071","Fremont County, IA",37895
"cty19195","Worth County, IA",37886
"cty26071","Iron County, MI",37884
"cty32007","Elko County, NV",37862
"cty48385","Real County, TX",37861
"cty48093","Comanche County, TX",37854
"cty20013","Brown County, KS",37853
"cty20159","Rice County, KS",37850
"cty20043","Doniphan County, KS",37834
"cty38071","Ramsey County, ND",37811
"cty06041","Marin County, CA",37794
"cty55045","Green County, WI",37776
"cty25017","Middlesex County, MA",37767
"cty08014","Broomfield County, CO",37747
"cty48427","Starr County, TX",37744
"cty48219","Hockley County, TX",37742
"cty55089","Ozaukee County, WI",37737
"cty49003","Box Elder County, UT",37695
"cty30053","Lincoln County, MT",37693
"cty55123","Vernon County, WI",37677
"cty55027","Dodge County, WI",37668
"cty48077","Clay County, TX",37661
"cty29129","Mercer County, MO",37654
"cty55041","Forest County, WI",37640
"cty16059","Lemhi County, ID",37633
