"cty","Name","Household_Income_at_Age_35_rP_gF_p25"
"cty29151","Osage County, MO",45531
"cty38017","Cass County, ND",45489
"cty29147","Nodaway County, MO",45483
"cty51107","Loudoun County, VA",45472
"cty46033","Custer County, SD",45460
"cty19011","Benton County, IA",45443
"cty19169","Story County, IA",45397
"cty46119","Sully County, SD",45373
"cty31121","Merrick County, NE",45330
"cty46117","Stanley County, SD",45328
"cty31159","Seward County, NE",45294
"cty27135","Roseau County, MN",45277
"cty19123","Mahaska County, IA",45255
"cty20069","Gray County, KS",45236
"cty46035","Davison County, SD",45221
"cty31045","Dawes County, NE",45217
"cty19025","Calhoun County, IA",45214
"cty27039","Dodge County, MN",45176
"cty27019","Carver County, MN",45175
"cty56009","Converse County, WY",45120
"cty48235","Irion County, TX",45120
"cty27111","Otter Tail County, MN",45106
"cty38099","Walsh County, ND",45042
"cty16065","Madison County, ID",45024
"cty19069","Franklin County, IA",45017
"cty19121","Madison County, IA",44997
"cty20123","Mitchell County, KS",44990
"cty19107","Keokuk County, IA",44975
"cty25021","Norfolk County, MA",44946
"cty27169","Winona County, MN",44899
"cty27097","Morrison County, MN",44873
"cty20007","Barber County, KS",44868
"cty55121","Trempealeau County, WI",44854
"cty19029","Cass County, IA",44826
"cty27139","Scott County, MN",44797
"cty49029","Morgan County, UT",44774
"cty38101","Ward County, ND",44756
"cty30009","Carbon County, MT",44755
"cty19063","Emmet County, IA",44751
"cty55049","Iowa County, WI",44745
"cty17085","Jo Daviess County, IL",44714
"cty16023","Butte County, ID",44711
"cty36059","Nassau County, NY",44686
"cty16051","Jefferson County, ID",44599
"cty31013","Box Butte County, NE",44579
"cty30073","Pondera County, MT",44575
"cty20193","Thomas County, KS",44561
"cty38093","Stutsman County, ND",44512
"cty20157","Republic County, KS",44500
"cty46029","Codington County, SD",44449
"cty48357","Ochiltree County, TX",44426
"cty19085","Harrison County, IA",44420
"cty27079","Le Sueur County, MN",44397
"cty27091","Martin County, MN",44394
"cty08039","Elbert County, CO",44384
"cty55109","St. Croix County, WI",44368
"cty16029","Caribou County, ID",44333
"cty31151","Saline County, NE",44321
"cty55089","Ozaukee County, WI",44283
"cty19117","Lucas County, IA",44272
"cty27023","Chippewa County, MN",44175
"cty19073","Greene County, IA",44163
"cty48447","Throckmorton County, TX",44132
"cty20181","Sherman County, KS",44129
"cty20137","Norton County, KS",44114
"cty27067","Kandiyohi County, MN",44095
"cty27033","Cottonwood County, MN",44040
"cty31155","Saunders County, NE",44024
"cty27119","Polk County, MN",44016
"cty17133","Monroe County, IL",43996
"cty20153","Rawlins County, KS",43993
"cty46081","Lawrence County, SD",43981
"cty30039","Granite County, MT",43946
"cty31019","Buffalo County, NE",43909
"cty08021","Conejos County, CO",43897
"cty55119","Taylor County, WI",43869
"cty49005","Cache County, UT",43842
"cty19041","Clay County, IA",43821
"cty40073","Kingfisher County, OK",43747
"cty39107","Mercer County, OH",43742
"cty48137","Edwards County, TX",43728
"cty08095","Phillips County, CO",43708
"cty19083","Hardin County, IA",43633
"cty17079","Jasper County, IL",43615
"cty31095","Jefferson County, NE",43592
"cty16081","Teton County, ID",43556
"cty18007","Benton County, IN",43531
"cty51017","Bath County, VA",43527
"cty17043","DuPage County, IL",43521
"cty48165","Gaines County, TX",43520
"cty25019","Nantucket County, MA",43518
"cty32015","Lander County, NV",43498
